month,volume_mn,avg_daily_vol_mn
2024-01-01,12203.02,393.65
2024-02-01,12102.67,417.33
2024-03-01,13440.00,433.55
2024-04-01,13303.99,443.47
2024-05-01,14035.84,452.77
2024-06-01,13885.14,462.84
2024-07-01,14435.55,465.66
2024-08-01,14963.05,482.68
2024-09-01,15041.75,501.39
2024-10-01,16584.97,535
2024-11-01,15482.02,516.07
2024-12-01,16730.01,539.68
