app_name,volume_mn,value_cr,month,year
Dena Bank App,0.02,23.57,3,2021
Deutsche Bank App,0.71,79.58,3,2021
Federal Bank App,0.2,38.85,3,2021
Fino Payments Bank App,0.01,1.28,3,2021
Google Pay,957.01,201185.14,3,2021
HDFC Bank Apps,1.59,244.17,3,2021
HSBC Bank App,0.08,45.89,3,2021
ICICI Bank Apps,13.95,3823.36,3,2021
IDBI Bank App,0.02,9.68,3,2021
IDFC Bank App,0.13,60.84,3,2021
India Post Payments Bank App,1.21,167.52,3,2021
Indian Bank App,0.09,34.1,3,2021
IndusInd Bank App,4.49,541.66,3,2021
Janta Sahakari Bank App,0.01,5.32,3,2021
Jio Payments Bank App,0.47,32.14,3,2021
Karnataka Bank App,0.12,20.89,3,2021
Karur Vysya Bank App,0.03,15.14,3,2021
Kotak Mahindra Bank Apps,2.26,397.99,3,2021
MI Pay,0.42,64.65,3,2021
MakeMy Trip,0.09,31.2,3,2021
Mobikwik,2.22,315.59,3,2021
Other Apps,0.02,11.62,3,2021
Paytm Payments Bank App,401.16,43221.25,3,2021
PhonePe,1199.51,231412.33,3,2021
Punjab National Bank App,0.14,72.25,3,2021
Punjab Sind Bank App,0.01,3.21,3,2021
RBL Bank App,0.14,59.94,3,2021
RealMe,0.01,1.44,3,2021
Samsung Pay,1.83,326.96,3,2021
South Indian Bank App,0.07,25.5,3,2021
Standard Chartered Bank App,0.05,30.66,3,2021
State Bank of India Apps,4.55,2578.38,3,2021
Truecaller,0.01,3.55,3,2021
UCO Bank App,0.07,16.08,3,2021
Ultracash,1.33,158.23,3,2021
Union Bank Apps,0.38,144.93,3,2021
WhatsApp,0.58,38.17,3,2021
Yes Bank Apps,29.14,4831.58,3,2021
YuvaPay,0.56,18.56,3,2021
AU Small Finance Bank App,0.04,20.23,4,2021
Airtel Payments Bank Apps,14.7,11172.43,4,2021
Allahabad Bank App,0.02,5.21,4,2021
Amazon Pay,49.12,4272.47,4,2021
Axis Bank Apps,80.52,747.46,4,2021
BHIM,22.26,6886.78,4,2021
Bajaj Finserv,0.01,0.96,4,2021
Bank of Baroda Apps,0.56,238.5,4,2021
Bank of India App,0.01,2.11,4,2021
Bank of Maharashtra App,0.02,6.05,4,2021
Canara Bank App,0.09,43.87,4,2021
